5262.52372 14.864 0.005
5264.52854 15.301 0.006
5265.58015 14.709 0.005
5266.52383 15.004 0.006
5267.52388 15.216 0.006
5269.50753 14.856 0.005
5272.51877 14.678 0.005
5273.50576 14.989 0.006
5275.50290 15.282 0.006
5277.51437 15.104 0.006
5280.51776 14.980 0.006
5282.49833 15.294 0.006
5284.51244 15.086 0.006
5285.51235 15.274 0.006
5288.50419 15.186 0.006
5291.50298 15.081 0.006
5294.51271 14.949 0.005
5296.54139 15.313 0.006
5298.52628 15.064 0.006
5301.48666 14.926 0.005
5306.49918 15.254 0.006
5308.52174 14.921 0.006
5312.48178 15.033 0.006
5315.47030 14.893 0.006
5428.92560 15.083 0.005
5439.84711 15.160 0.006
5444.86528 14.959 0.005
5449.91719 15.038 0.005
5450.84663 15.236 0.005
5454.85027 15.302 0.005
5457.85848 15.228 0.005
5459.78736 14.853 0.005
5463.84993 15.006 0.005
5467.82438 15.116 0.005
5468.78304 15.288 0.006
5469.83474 14.687 0.005
5471.79887 15.208 0.006
5475.89252 15.296 0.006
5478.74740 15.188 0.005
5480.74270 14.797 0.005
5482.74018 15.268 0.006
5484.74670 14.948 0.005
5486.73188 15.306 0.005
5488.71569 15.056 0.005
5489.73679 15.261 0.005
5491.72123 14.926 0.005
5492.73552 15.175 0.005
5494.72483 14.756 0.005
5496.77275 15.267 0.006
5499.79782 15.177 0.005
5505.87286 14.938 0.006
5510.77192 15.255 0.005
5512.79038 14.903 0.005
5514.79311 15.300 0.005
5516.79603 15.032 0.005
5518.81944 15.022 0.006
5521.81865 15.308 0.006
5523.77742 15.020 0.005
5525.78706 15.138 0.005
5527.71077 15.101 0.005
5528.84506 15.308 0.006
5529.73505 14.685 0.005
5530.76470 15.005 0.005
5532.75727 15.230 0.005
5533.82419 14.874 0.005
5534.68495 15.104 0.005
5535.77590 15.300 0.005
5539.81484 15.229 0.005
5541.75563 15.110 0.005
5543.80582 14.686 0.005
5545.81050 15.223 0.006
5547.71930 14.816 0.005
5549.73274 15.284 0.006
5551.74331 14.967 0.005
5554.78140 14.820 0.005
5557.75490 14.714 0.005
5559.80021 15.195 0.005
5561.73269 14.782 0.005
5565.76424 14.935 0.005
5568.74998 14.770 0.005
5571.71556 14.918 0.005
5574.81386 15.338 0.006
5576.81023 15.071 0.005
5577.76717 15.262 0.006
5578.76804 14.904 0.005
5580.74553 15.156 0.005
5581.74861 15.308 0.006
5582.79537 14.752 0.005
5584.74588 15.252 0.006
5585.73442 15.055 0.005
5587.68705 15.140 0.005
5590.65352 15.009 0.005
5591.72701 15.236 0.005
5593.67816 14.872 0.005
5594.70848 15.136 0.005
5595.72177 15.302 0.005
5596.74718 14.720 0.005
5599.67996 15.233 0.005
5602.71226 15.301 0.005
5604.69829 14.997 0.005
5605.71661 15.221 0.005
5607.67227 14.834 0.005
5609.68652 15.298 0.006
5612.66899 15.205 0.006
5615.62396 15.068 0.005
5624.60795 14.813 0.005
5626.55915 15.163 0.005
5629.54500 15.043 0.005
5631.54381 15.034 0.005
5633.58791 15.157 0.005
5635.55279 14.727 0.005
5639.56223 14.893 0.005
5641.53210 15.293 0.006
5643.53350 15.016 0.005
5645.53266 15.193 0.006
5647.49645 15.119 0.005
5649.49500 14.689 0.005
5651.49842 15.214 0.005
5653.57544 14.871 0.005
5655.49679 15.289 0.005
5657.49190 14.982 0.005
5660.54040 14.850 0.005
5666.53504 15.291 0.006
5669.51832 15.283 0.006
5672.52938 15.205 0.006
5672.53178 15.201 0.006
5676.51695 15.274 0.005
5679.55109 15.191 0.005
5680.49271 15.320 0.006
5683.47718 15.257 0.005
5684.48144 14.862 0.005
5785.93854 15.298 0.007
5803.90912 15.304 0.005
5805.92243 15.097 0.006
5807.87014 14.722 0.005
5809.90128 15.196 0.005
5812.89709 15.079 0.005
5813.89433 15.262 0.005
5816.83349 15.172 0.005
5819.86799 15.065 0.005
5822.80226 14.915 0.005
5824.79834 15.321 0.005
5826.88932 15.054 0.005
5828.82257 15.051 0.005
5830.80273 15.143 0.005
5832.80458 14.719 0.005
5834.78972 15.235 0.005
5835.83473 15.097 0.005
5837.80053 15.131 0.005
5840.86608 15.023 0.005
5842.81511 15.193 0.005
5846.78617 14.692 0.005
5850.82254 14.859 0.005
5851.77910 15.108 0.005
5853.83210 14.694 0.005
5856.83088 15.261 0.005
